Book: D:\Projekte\Java\Exercise_Countwords\src\main\java\files\10020.txt
half : 6
Youdont : 2
hall : 12
NEAR : 17
childs : 2
ten : 2
daring : 2
sake : 4
energy : 6
conceal : 2
Thishyer : 2
Promise : 2
Itconsists : 2
amusing : 3
newspaper : 2
A : 1072
B : 4
C : 18
D : 5
E : 10
F : 5
G : 5
H : 6
I : 670
J : 4
turn : 9
L : 4
M : 2
N : 2
result : 5
gold : 8
R : 4
same : 30
S : 2
T : 2
W : 6
after : 64
staircase : 4
hand : 36
a : 1072
b : 4
c : 18
Studley : 46
artistic : 2
blood : 2
n : 2
Napoleon : 2
the : 2314
straight : 4
Red : 12
Agreement : 17
DICKENS : 19
s : 2
readers : 2
inresidence : 2
information : 8
Again : 38
thy : 2
thelandlords : 2
good : 40
empty : 2
SHE : 300
skeleton : 2
copying : 2
serious : 6
laugh : 4
walker : 2
disguised : 2
gone : 11
sang : 3
walked : 2
DOING : 3
aside : 2
SIR : 122
sank : 5
disturbed : 3
provided : 4
Surely : 2
representation : 2
motive : 2
hard : 8
Age : 32
roof : 5
HERSELF : 22
room : 84
better : 16
taking : 6
Popular : 5
pile : 2
immortal : 2
signatures : 9
gained : 2
struck : 10
hate : 2
order : 12
reminds : 2
conceit : 2
pressed : 5
withthe : 4
illustrated : 7
coach : 8
women : 9
woman : 34
save : 4
protection : 2
Ignorance : 2
footsteps : 2
whenhe : 3
Barking : 2
frankly : 3
Notwithstanding : 3
top : 4
too : 30
Maltese : 2
Richard : 4
have : 187
avail : 2
famous : 4
question : 5
Four : 9
spirit : 3
intellectual : 2
wishing : 2
picture : 10
regard : 6
rose : 19
thousand : 2
andI : 3
All : 126
Ihad : 4
hadbeen : 2
cow : 2
Copyright : 13
owns : 3
pipe : 3
circumstances : 2
including : 9
awayto : 2
plenty : 4
AGREEMENT : 17
And : 1263
gout : 3
try : 4
rarity : 2
became : 5
totake : 4
Any : 74
times : 11
says : 8
direction : 5
That : 455
Their : 53
cry : 4
inspector : 3
Major : 2
ofmy : 2
sketch : 3
tub : 3
caught : 5
beautiful : 8
worked : 5
Handcop : 2
Then : 73
state : 23
Them : 64
appointments : 2
probable : 3
opposite : 3
SUM : 6
Are : 161
creating : 2
Orders : 2
cut : 4
probably : 12
Vanilla : 3
weighed : 4
dread : 2
two : 50
moment : 22
ROYAL : 15
tear : 2
calmly : 2
attack : 5
